8.37449744188994e-20	6.01398815654125e-23	5.70305651771226e-23	0	2.60120504114485e-22	2.13780351664457e-22	1.12877718657234e-22	1.85227479599628e-22	1.77050161327631e-21	6.40448925905712e-23	3.68590847993384e-22	2.80603022493551e-23
8.2377708522431e-20	6.67708215963281e-23	6.50365655405541e-23	0	2.19318337585419e-22	2.60706823875075e-22	1.02904408369472e-22	1.57001996211534e-22	1.24714267692491e-21	6.86997162768951e-23	2.87592571026619e-22	3.05198875615908e-23
0	6.98110731833495e-23	6.83048153311828e-23	8.3430307337454e-20	2.83179855051768e-22	2.61805101168223e-22	1.25067142870451e-22	2.00226858338451e-22	1.47288346946133e-21	7.54123574849609e-23	3.01263575172059e-22	3.25393934871353e-23
8.29394611761148e-20	7.2786914042006e-23	7.15417671661903e-23	0	2.73808474695285e-22	2.80833218718134e-22	1.27405581009643e-22	1.9539266288907e-22	1.32040248208347e-21	7.86275391690446e-23	2.85415019104058e-22	3.3982815126659e-23
8.30090188550668e-20	6.62684733415231e-23	6.3522239450919e-23	0	2.22901955900466e-22	2.500019807358e-22	1.03730716813365e-22	1.59944399998523e-22	1.26996868075141e-21	6.76642901698021e-23	2.91994767172973e-22	2.95648498800657e-23
5.88433883501552e-23	0	8.19895839716147e-20	7.49323098171695e-23	3.26815949619788e-23	2.33452448640036e-21	4.81099204648064e-23	3.34291288936905e-23	1.79710808722408e-23	1.93453120562608e-20	9.23596088741386e-24	1.84916238081272e-20
7.24004545828269e-23	8.28400855614289e-20	0	9.58046260029678e-23	3.9050769372851e-23	3.36978520967281e-21	5.68948682479595e-23	3.99950563057634e-23	2.12641843765496e-23	3.09916934160814e-20	1.05495938288023e-23	1.09623116536709e-20
7.45228835637756e-23	0	8.3380834126589e-20	9.94969983942176e-23	3.84556849781756e-23	4.45323296303459e-21	5.46366596773791e-23	4.00990077868431e-23	2.21014638047952e-23	2.01871800714291e-20	1.08422807120629e-23	7.96096457432124e-21
6.78421590057194e-23	0	6.05075069716769e-20	8.74036378795164e-23	3.90206811118169e-23	2.46936734870299e-21	5.85105522405473e-23	4.08166365847561e-23	2.03207415642582e-23	4.73113890329322e-20	1.01179564993019e-23	1.61727089276396e-20
6.36342677925577e-23	0	8.276111410213e-20	8.62109289038086e-23	3.27701870455789e-23	3.49117937579852e-21	4.65847932450096e-23	3.27073079991342e-23	1.888587001267e-23	1.36119251242864e-20	9.77670131337501e-24	1.03597825625622e-20
